110,329,2,388
195,336,46,474
4,410,96,424
136,388,316,413
295,344,280,404
250,304,227,334
32,259,33,311
102,259,103,313
182,262,183,319
262,101,264,289
327,1,326,172
227,2,228,97
176,4,176,103
128,3,165,103
78,2,36,32
38,33,158,104
1,316,218,331
215,352,317,361
192,374,319,391
158,415,317,439
264,295,164,288
1,125,260,99
