186,401,248,401
845,401,899,401
489,151,749,151
527,539,635,539
644,539,706,539
732,539,806,539
459,286,517,286
549,286,690,286
372,215,540,215
369,401,409,402
841,474,884,479
8,487,77,488
851,544,899,583
849,544,882,569
811,509,844,541
850,544,895,581
848,515,895,556
545,439,546,506
576,92,577,146
426,428,426,484
389,326,390,385
521,88,521,140
521,445,521,523
545,439,545,486
623,316,623,380
460,330,460,377
673,101,673,146
426,414,426,492
154,372,194,361
547,189,643,188
662,187,718,187
723,186,769,186
500,88,546,88
562,87,603,87
668,85,717,85
